Entity,Code,Year,Mostly help,Neither,Refused - help/harm question,"Don't have an opinion, Don't know - help/harm question",Mostly harm
Lebanon,LBN,2021,23.762377,2.3762376,0.0990099,26.138615,47.623764
Lithuania,LTU,2019,36.203705,6.6666665,,23.796297,33.333332
Lithuania,LTU,2021,35.650448,6.156902,0.2979146,23.336643,34.558094
Malaysia,MYS,2019,41.603775,1.8867924,0.094339624,23.867924,32.54717
Malaysia,MYS,2021,38.2557,2.5768087,0.099108025,20.713577,38.354805
Mali,MLI,2019,37.433628,0.3539823,,20.265488,41.946903
Mali,MLI,2021,48.1,1.3,0.2,25.1,25.3
Malta,MLT,2019,42.2,1.3,,20,36.5
Malta,MLT,2021,28.871128,1.2987013,,35.664337,34.165833
Mauritius,MUS,2019,48.4,0.7,,7.1,43.8
Mauritius,MUS,2021,44.6,3.2,0.1,15.6,36.5
Mexico,MEX,2019,24.275724,1.0989012,0.7992008,30.36963,43.456543
Mexico,MEX,2021,42.1,0.5,0.6,26.6,30.2
Moldova,MDA,2019,23.333334,0.9259259,,31.75926,43.98148
Moldova,MDA,2021,23.9,2.9,0.2,33.2,39.8
Mongolia,MNG,2019,14.579439,1.0280374,,44.48598,39.906544
Mongolia,MNG,2021,20.6,0.7,0.1,58.1,20.5
Morocco,MAR,2019,17.536945,1.182266,,46.995075,34.285713
Morocco,MAR,2021,25.748503,1.3972056,0.2994012,38.023952,34.530937
Mozambique,MOZ,2019,30.7,1.5,0.3,49.1,18.4
Mozambique,MOZ,2021,29.6,1.6,0.4,42,26.4
Myanmar,MMR,2019,40.909092,1.7272727,0.36363637,27.727272,29.272728
Myanmar,MMR,2021,44.2,3.3,0.4,31.5,20.6
Namibia,NAM,2019,52.89421,0.499002,,16.367266,30.239521
Namibia,NAM,2021,25.996016,0.69721115,0.0996016,34.163345,39.043823
Nepal,NPL,2019,45.753426,0.2739726,,34.52055,19.452055
Nepal,NPL,2021,32.7,0.7,0.3,52,14.3
Netherlands,NLD,2019,51.34865,0.2997003,,10.889111,37.462536
Netherlands,NLD,2021,47.7,0.3,0.1,30.4,21.5
New Zealand,NZL,2019,40.159046,1.192843,0.099403575,19.4831,39.065605
New Zealand,NZL,2021,39.9,0.8,,36.5,22.8
Nicaragua,NIC,2019,14.444445,1.574074,1.1111112,35.74074,47.12963
Nicaragua,NIC,2021,18.51485,1.2871287,1.1881188,46.732674,32.27723
Nigeria,NGA,2019,34.5,2.3,0.1,29.6,33.5
Nigeria,NGA,2021,25.6,2.9,0.1,33.4,38
North Macedonia,MKD,2019,16.203703,0.5555556,0.09259259,22.222221,60.925926
North Macedonia,MKD,2021,21.257484,0.3992016,,21.956087,56.387226
Norway,NOR,2019,50.1,0.3,,21.4,28.2
Norway,NOR,2021,63.8,0.7,,21.1,14.4
Pakistan,PAK,2019,28.689276,8.799267,0.73327225,24.656279,37.121906
Pakistan,PAK,2021,19.3,1.9,0.2,26.5,52.1
Panama,PAN,2019,18.055555,0.46296296,0.37037036,37.037037,44.074074
Panama,PAN,2021,19.94018,0.2991027,0.69790626,30.10967,48.95314
Paraguay,PRY,2019,14.735867,0.27803522,0.55607045,36.0519,48.378128
Paraguay,PRY,2021,14.185814,0.0999001,0.1998002,35.264736,50.249752
Peru,PER,2019,29,0.7,0.2,21.5,48.6
Peru,PER,2021,28.5,0.8,1,31.5,38.2
Philippines,PHL,2019,28.899082,0.4587156,,33.394497,37.247707
Philippines,PHL,2021,31.5,0.9,0.1,45.7,21.8
Poland,POL,2019,35.092594,1.9444444,,24.62963,38.333332
Poland,POL,2021,41.217564,0.3992016,0.2994012,35.429142,22.65469
Portugal,PRT,2019,31.568432,3.7962039,,9.2907095,55.344654
Portugal,PRT,2021,37.6,3.5,,19,39.9
Republic of the Congo,,2019,41.009174,1.6513761,0.09174312,16.055046,41.19266
Republic of the Congo,,2021,31.7,2.3,0.4,29.9,35.7
Romania,ROU,2019,28.88889,0.9259259,0.18518518,28.425926,41.574074
Romania,ROU,2021,36.363636,2.8971028,0.2997003,22.477522,37.962036
Russia,RUS,2019,33.487083,0.73800737,0.18450184,23.339483,42.250923
Russia,RUS,2021,42.628685,0.8495752,0.09995002,32.883556,23.53823
Saudi Arabia,SAU,2019,56.3,0.6,,12.1,31
Saudi Arabia,SAU,2021,42.88499,0.97465885,0.09746589,38.10916,17.933723
Senegal,SEN,2019,31.7,1.7,,29.7,36.9
Senegal,SEN,2021,26.9,3.2,0.2,27.4,42.3
Serbia,SRB,2019,23.055555,1.6666666,,19.351852,55.925926
Serbia,SRB,2021,29.740519,2.2954092,,15.968064,51.99601
Sierra Leone,SLE,2019,33.80406,1.765225,0.088261254,47.131508,17.210945
Sierra Leone,SLE,2021,32.967033,0.4995005,1.3986014,27.372627,37.762238
Singapore,SGP,2019,50.76923,1.7307693,,23.942308,23.557692
Singapore,SGP,2021,51.3834,7.5098815,0.09881423,22.43083,18.577076
Slovakia,SVK,2019,38.333332,7.037037,0.46296296,15.555555,38.61111
Slovakia,SVK,2021,50.24826,2.6812315,0.09930486,21.052631,25.91857
Slovenia,SVN,2019,49.85015,1.0989012,,11.688312,37.362637
Slovenia,SVN,2021,50.5988,2.9940119,,18.463074,27.94411
South Africa,ZAF,2019,42.45283,0.754717,0.28301886,19.150944,37.35849
South Africa,ZAF,2021,23.655914,3.42131,0.39100686,33.91984,38.611927
South Korea,KOR,2019,66.93148,1.489573,,10.625621,20.953327
South Korea,KOR,2021,69.92032,1.0956175,0.1992032,14.143426,14.641435
Spain,ESP,2019,39.6,0.1,,8.9,51.4
Spain,ESP,2021,56.4,5.9,,12.4,25.3
Sri Lanka,LKA,2019,32.68698,0.6463527,0.6463527,26.31579,39.704525
Sri Lanka,LKA,2021,32.47012,3.187251,0.49800798,25.099602,38.74502
Sweden,SWE,2019,53.7,0.8,0.1,15.4,30
Sweden,SWE,2021,60.73926,0.2997003,,26.473526,12.487513
Switzerland,CHE,2019,33.5,3.9,,11.8,50.8
Switzerland,CHE,2021,44.8,10.2,,17.9,27.1
Taiwan,TWN,2019,52.2,1.7,0.1,24.1,21.9
Taiwan,TWN,2021,57.3,2.9,0.9,20.8,18.1
Tajikistan,TJK,2019,34.907406,1.0185186,0.09259259,36.11111,27.87037
Tajikistan,TJK,2021,27.5,1.2,0.2,48.8,22.3
Tanzania,TZA,2019,23,0.1,,33,43.9
Tanzania,TZA,2021,11.7,0.2,0.1,25.3,62.7
Thailand,THA,2019,32.4,1.6,1.1,38.6,26.3
Thailand,THA,2021,58.76089,4.356244,0.58083254,15.392062,20.909971
Togo,TGO,2019,34.336285,0.9734513,,27.787611,36.902657
Togo,TGO,2021,32.8,2.4,0.1,30,34.7
Tunisia,TUN,2019,28.6,0.9,0.1,22.5,47.9
Tunisia,TUN,2021,22.2,3.2,0.1,26.2,48.3
Turkey,TUR,2019,39.093483,1.5108593,0.0944287,16.241737,43.05949
Turkey,TUR,2021,34.2,2.7,1,11.1,51
Uganda,UGA,2019,32.6,0.3,0.1,21.1,45.9
Uganda,UGA,2021,25,0.4,,17.4,57.2
Ukraine,UKR,2019,31.75926,3.148148,0.09259259,27.592592,37.407406
Ukraine,UKR,2021,47.4,2.5,0.2,26.6,23.3
United Arab Emirates,ARE,2019,44.023903,0.69721115,0.0996016,27.888447,27.290836
United Arab Emirates,ARE,2021,50.74184,4.253215,,18.496538,26.508408
United Kingdom,GBR,2019,45.6,1,,17,36.4
United Kingdom,GBR,2021,46.7,5.1,0.1,19.6,28.5
United States,USA,2019,44.28008,0.591716,0.09861933,11.834319,43.195267
United States,USA,2021,35.024876,0.99502486,0.39800996,28.756218,34.82587
Uruguay,URY,2019,22.962963,1.0185186,1.7592592,20.37037,53.88889
Uruguay,URY,2021,28.6,0.1,0.4,19.5,51.4
Uzbekistan,UZB,2019,48.24074,0.7407407,0.09259259,21.481482,29.444445
Uzbekistan,UZB,2021,40.9,1.6,,34.1,23.4
Venezuela,VEN,2019,21.203703,0.37037036,0.5555556,26.944445,50.925926
Venezuela,VEN,2021,31.5,0.1,0.2,44.1,24.1
Vietnam,VNM,2019,46.90619,0.6986028,0.0998004,41.217564,11.077845
Vietnam,VNM,2021,59.483616,4.3694143,,22.24429,13.902681
Zambia,ZMB,2019,24,1.1,0.1,34.8,40
Zambia,ZMB,2021,27,1.5,0.1,33.5,37.9
Zimbabwe,ZWE,2019,48.521255,0.9242144,,23.382626,27.171904
Zimbabwe,ZWE,2021,33.7,1,,19.5,45.8
