Entity,Code,Day,Training computation (petaFLOP),Domain
ULM-FiT,,2018-01-18,,Language
Universal approximation via Feedforward Networks,,1989-03-09,,Not specified
Unsupervised High-level Feature Learner,,2012-07-12,600,Vision
Unsupervised Scale-Invariant Learning,,2003-06-18,,Vision
VD-LSTM+REAL Large,,2016-11-04,21.3,Language
VD-RHN,,2016-07-12,3.57,Language
VGG16,,2014-09-04,9250,Vision
VGG19,,2014-09-04,,Vision
VQGAN + CLIP,,2020-12-17,,Drawing
"Variational (untied weights, MC) LSTM (Large)",,2015-12-16,5.6200004,Language
ViT-Base/32,,2020-10-22,,Vision
ViT-G (model soup),,2022-03-10,3400000.2,Vision
ViT-G/14,,2021-06-08,3400000.2,Vision
ViT-G/14 (LiT),,2021-11-15,,Vision
ViT-H/14,,2020-09-28,12800000,Vision
ViT-Huge/14,,2020-10-22,,Vision
Vicuna-13B,,2023-03-30,,Language
Visualizing CNNs,,2013-11-12,532,Vision
W2v-BERT,,2021-08-07,,Speech
WGAN-GP,,2017-03-31,,Vision
Walking Minotaur robot,,2019-06-19,,Other
WaveNet,,2016-09-12,,Speech
WeNet (Penn Treebank),,2019-04-08,,Language
Whisper,,2022-09-21,46500000,Speech
Wide & Deep,,2016-06-24,,Recommendation
Wide Residual Network,,2016-09-19,,Vision
WizardLM-7B,,2023-04-24,40200000,Language
Word Representations,,2010-06-01,,Language
Word2Vec (large),,2013-10-16,38.9,Language
Word2Vec (small),,2013-10-16,,Language
XGLM,,2021-12-20,,Language
XGen-7B,,2023-09-07,80200010,Language
XLM,,2019-06-01,,Language
XLMR-XXL,,2021-08-17,,Language
XLNet,,2019-06-01,,Language
Xception,,2016-10-07,43600,Vision
YOLO,,2015-06-08,,Vision
YOLOv2,,2016-12-25,,Vision
YOLOv3,,2018-04-08,50900,Vision
YouTube Video Recommendation System,,2010-09-26,,Recommendation
Youtube recommendation model,,2016-09-15,,Recommendation
Yuan 1.0,,2021-10-12,410000000,Language
Zidong Taichu,,2021-08-11,,Multimodal
Zip CNN,,1989-12-01,0.0000434,Vision
Zoneout + Variational LSTM (WT2),,2016-09-26,16.8,Language
aLSTM(depth-2)+RecurrentPolicy (WT2),,2018-05-22,75.9,Language
base LM+GNN+kNN,,2021-10-17,7300.0005,Language
data2vec (language),,2022-01-20,,Language
data2vec (speech),,2022-01-20,,Speech
data2vec (vision),,2022-01-20,,Vision
fastText,,2016-07-06,,Language
genCNN + dyn eval,,2015-03-17,73,Language
iGPT-XL,,2020-06-17,33000000,Drawing
mT5-XXL,,2020-10-20,78000010,Language
top-down frozen classifier,,2021-02-09,,Language
wave2vec 2.0 LARGE,,2020-10-22,1900000,Speech
λ-WASP,,2007-06-01,,Language
